19/03/2022,2022,March,3,Q1,12,19/03/2022,5,Saturday,0
20/03/2022,2022,March,3,Q1,12,26/03/2022,6,Sunday,0
21/03/2022,2022,March,3,Q1,13,26/03/2022,0,Monday,0
22/03/2022,2022,March,3,Q1,13,26/03/2022,1,Tuesday,0
23/03/2022,2022,March,3,Q1,13,26/03/2022,2,Wednesday,0
24/03/2022,2022,March,3,Q1,13,26/03/2022,3,Thursday,0
25/03/2022,2022,March,3,Q1,13,26/03/2022,4,Friday,0
26/03/2022,2022,March,3,Q1,13,26/03/2022,5,Saturday,0
27/03/2022,2022,March,3,Q1,13,02/04/2022,6,Sunday,0
28/03/2022,2022,March,3,Q1,14,02/04/2022,0,Monday,0
29/03/2022,2022,March,3,Q1,14,02/04/2022,1,Tuesday,0
30/03/2022,2022,March,3,Q1,14,02/04/2022,2,Wednesday,0
31/03/2022,2022,March,3,Q1,14,02/04/2022,3,Thursday,0
01/04/2022,2022,April,4,Q2,14,02/04/2022,4,Friday,0
02/04/2022,2022,April,4,Q2,14,02/04/2022,5,Saturday,0
03/04/2022,2022,April,4,Q2,14,09/04/2022,6,Sunday,0
04/04/2022,2022,April,4,Q2,15,09/04/2022,0,Monday,0
05/04/2022,2022,April,4,Q2,15,09/04/2022,1,Tuesday,0
06/04/2022,2022,April,4,Q2,15,09/04/2022,2,Wednesday,0
07/04/2022,2022,April,4,Q2,15,09/04/2022,3,Thursday,0
08/04/2022,2022,April,4,Q2,15,09/04/2022,4,Friday,0
09/04/2022,2022,April,4,Q2,15,09/04/2022,5,Saturday,0
10/04/2022,2022,April,4,Q2,15,16/04/2022,6,Sunday,0
11/04/2022,2022,April,4,Q2,16,16/04/2022,0,Monday,0
12/04/2022,2022,April,4,Q2,16,16/04/2022,1,Tuesday,0
13/04/2022,2022,April,4,Q2,16,16/04/2022,2,Wednesday,0
14/04/2022,2022,April,4,Q2,16,16/04/2022,3,Thursday,0
15/04/2022,2022,April,4,Q2,16,16/04/2022,4,Friday,0
16/04/2022,2022,April,4,Q2,16,16/04/2022,5,Saturday,0
17/04/2022,2022,April,4,Q2,16,23/04/2022,6,Sunday,0
18/04/2022,2022,April,4,Q2,17,23/04/2022,0,Monday,0
19/04/2022,2022,April,4,Q2,17,23/04/2022,1,Tuesday,0
20/04/2022,2022,April,4,Q2,17,23/04/2022,2,Wednesday,0
21/04/2022,2022,April,4,Q2,17,23/04/2022,3,Thursday,0
22/04/2022,2022,April,4,Q2,17,23/04/2022,4,Friday,0
23/04/2022,2022,April,4,Q2,17,23/04/2022,5,Saturday,0
24/04/2022,2022,April,4,Q2,17,30/04/2022,6,Sunday,0
25/04/2022,2022,April,4,Q2,18,30/04/2022,0,Monday,0
26/04/2022,2022,April,4,Q2,18,30/04/2022,1,Tuesday,0
27/04/2022,2022,April,4,Q2,18,30/04/2022,2,Wednesday,0
28/04/2022,2022,April,4,Q2,18,30/04/2022,3,Thursday,0
29/04/2022,2022,April,4,Q2,18,30/04/2022,4,Friday,0
30/04/2022,2022,April,4,Q2,18,30/04/2022,5,Saturday,0
01/05/2022,2022,May,5,Q2,18,07/05/2022,6,Sunday,0
02/05/2022,2022,May,5,Q2,19,07/05/2022,0,Monday,0
03/05/2022,2022,May,5,Q2,19,07/05/2022,1,Tuesday,0
04/05/2022,2022,May,5,Q2,19,07/05/2022,2,Wednesday,1
05/05/2022,2022,May,5,Q2,19,07/05/2022,3,Thursday,0
06/05/2022,2022,May,5,Q2,19,07/05/2022,4,Friday,0
07/05/2022,2022,May,5,Q2,19,07/05/2022,5,Saturday,0
08/05/2022,2022,May,5,Q2,19,14/05/2022,6,Sunday,0
09/05/2022,2022,May,5,Q2,20,14/05/2022,0,Monday,0
10/05/2022,2022,May,5,Q2,20,14/05/2022,1,Tuesday,0
11/05/2022,2022,May,5,Q2,20,14/05/2022,2,Wednesday,0
12/05/2022,2022,May,5,Q2,20,14/05/2022,3,Thursday,0
13/05/2022,2022,May,5,Q2,20,14/05/2022,4,Friday,0
14/05/2022,2022,May,5,Q2,20,14/05/2022,5,Saturday,0
15/05/2022,2022,May,5,Q2,20,21/05/2022,6,Sunday,0
16/05/2022,2022,May,5,Q2,21,21/05/2022,0,Monday,0
17/05/2022,2022,May,5,Q2,21,21/05/2022,1,Tuesday,0
18/05/2022,2022,May,5,Q2,21,21/05/2022,2,Wednesday,0
19/05/2022,2022,May,5,Q2,21,21/05/2022,3,Thursday,0
20/05/2022,2022,May,5,Q2,21,21/05/2022,4,Friday,0
21/05/2022,2022,May,5,Q2,21,21/05/2022,5,Saturday,0
22/05/2022,2022,May,5,Q2,21,28/05/2022,6,Sunday,0
23/05/2022,2022,May,5,Q2,22,28/05/2022,0,Monday,0
24/05/2022,2022,May,5,Q2,22,28/05/2022,1,Tuesday,0
25/05/2022,2022,May,5,Q2,22,28/05/2022,2,Wednesday,0
26/05/2022,2022,May,5,Q2,22,28/05/2022,3,Thursday,0
27/05/2022,2022,May,5,Q2,22,28/05/2022,4,Friday,0
28/05/2022,2022,May,5,Q2,22,28/05/2022,5,Saturday,0
29/05/2022,2022,May,5,Q2,22,04/06/2022,6,Sunday,0
30/05/2022,2022,May,5,Q2,23,04/06/2022,0,Monday,1
31/05/2022,2022,May,5,Q2,23,04/06/2022,1,Tuesday,0
01/06/2022,2022,June,6,Q2,23,04/06/2022,2,Wednesday,0
02/06/2022,2022,June,6,Q2,23,04/06/2022,3,Thursday,0
03/06/2022,2022,June,6,Q2,23,04/06/2022,4,Friday,0
04/06/2022,2022,June,6,Q2,23,04/06/2022,5,Saturday,0
